         111611055 function calls (108786268 primitive calls) in 138.524 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43400    0.174    0.000    0.251    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/zipfile.py:764(read)
    47190    0.168    0.000    1.253    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/_methods.py:126(_clip)
   127541    0.163    0.000    0.504    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:828(get_unitless_position)
   187006    0.163    0.000    0.241    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/re/__init__.py:272(_compile)
    12937    0.161    0.000    2.273    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:743(set_clip_path)
   212548    0.160    0.000    0.194    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:421(get_transform)
56152/56151    0.160    0.000    0.685    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1109(get_points)
   168432    0.160    0.000    2.473    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:2418(transform_affine)
   102553    0.160    0.000    2.589    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:237(_get_xy_display)
   649530    0.159    0.000    0.159    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/enum.py:1074(__new__)
   171039    0.159    0.000    0.639    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:157(invalidate)
    13692    0.157    0.000    1.618    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/patches.py:740(get_patch_transform)
     6440    0.157    0.000    0.157    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/timelib.py:1019(tdb_minus_tt)
    56187    0.157    0.000    0.282    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/ma/core.py:3211(__getitem__)
   140423    0.156    0.000    0.171    0.000 {method '__reduce_ex__' of 'object' objects}
   315275    0.155    0.000    0.173    0.000 {built-in method builtins.max}
   431566    0.154    0.000    0.375    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/pyproj/enums.py:13(create)
    16800    0.154    0.000    2.277    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/zipfile.py:1008(_read1)
    15848    0.153    0.000    1.967    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:2674(get_tick_space)
   151822    0.152    0.000    2.254    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:800(from_bounds)
    14067    0.149    0.000    2.934    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/spines.py:142(get_window_extent)
    59911    0.148    0.000    0.148    0.000 {built-in method numpy.arange}
    36526    0.145    0.000    0.145    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/getlimits.py:540(smallest_normal)
   140392    0.145    0.000    0.901    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:328(ymax)
    28678    0.143    0.000    1.574    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/markers.py:327(_set_marker)
    59655    0.143    0.000    0.162    0.000 {built-in method builtins.sorted}
    65207    0.143    0.000    0.319    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:32(seterr)
   127862    0.142    0.000    0.788    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2406(all)
   685722    0.142    0.000    0.142    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:1926(get_matrix)
   167784    0.142    0.000    1.594    0.000 <__array_function__ internals>:177(reshape)
   513435    0.142    0.000    0.142    0.000 {method 'update' of 'dict' objects}
    11024    0.141    0.000    0.369    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:793(_set_format)
      328    0.140    0.000    0.140    0.000 {method 'call' of '_tkinter.tkapp' objects}
    24988    0.140    0.000    0.246    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:624(translated)
86321/81901    0.140    0.000    3.922    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/artist.py:1190(set)
   121174    0.138    0.000    0.952    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:313(xmin)
     1400    0.137    0.000    8.907    0.006 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/skyfield/iokit.py:332(timescale)
    16437    0.137    0.000    0.193    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/inspect.py:3068(_bind)
   133192    0.134    0.000    0.842    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/transforms.py:318(ymin)
    12045    0.134    0.000    2.517    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/text.py:131(__init__)
     7000    0.134    0.000    3.141    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/lib/format.py:568(_read_array_header)
    39628    0.132    0.000    0.301    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:233(<listcomp>)
     3220    0.131    0.000   17.525    0.005 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axes/_base.py:2980(_update_title_position)
366194/366191    0.130    0.000    0.130    0.000 {built-in method __new__ of type object at 0x5558f6f61400}
  1074811    0.128    0.000    0.128    0.000 {built-in method builtins.id}
    15560    0.127    0.000    5.318    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:200(draw_text)
    11693    0.126    0.000    0.126    0.000 {method 'take' of 'numpy.ndarray' objects}
57400/7000    0.125    0.000    0.149    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/ast.py:82(_convert)
     8768    0.125    0.000    0.310    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/numpy/linalg/linalg.py:983(eigvals)
    34920    0.124    0.000    8.004    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/ticker.py:2145(tick_values)
     6422    0.124    0.000    1.483    0.000 /home/waves/anaconda3/envs/MATS_img/lib/python3.11/site-packages/matplotlib/axis.py:356(_apply_params)
